AL_Type;AR_No;CustID;Layanan;CreatedOn
Downgrade;AR/CHT/2105/2792;140000778;QinqMetroEthernet;21/05/2021 13.10
New;AR/ACT/2103/8784;90000665;PenambahanIPv4Publik;25/03/2021 14.04
New;AR/ACT/2103/8783;90000665;InternetBroadbandCorporate;25/03/2021 14.04
New;AR/ACT/2103/8782;90000665;InternetCorporate;25/03/2021 14.04
Downgrade;AR/CHT/2104/2442;140000778;QinqMetroEthernet;20/04/2021 11.51
Downgrade;AR/CHT/2104/2441;140000778;QinqMetroEthernet;20/04/2021 11.41
Upgrade;AR/UPG/2102/1468;140002081;InternetCorporate;23/02/2021 09.19
Downgrade;AR/CHT/2104/2452;140000778;QinqMetroEthernet;20/04/2021 12.38
New;AR/ACT/2104/10657;990001563;PenambahanIPv4Publik;12/04/2021 10.18
Upgrade;AR/UPG/2103/2120;110000142;InternetCorporate;28/03/2021 19.50
Downgrade;AR/CHT/2104/2453;140000778;QinqMetroEthernet;20/04/2021 12.43
Downgrade;AR/CHT/2104/2450;140000778;QinqMetroEthernet;20/04/2021 12.27
New;AR/ACT/2103/8946;110000142;PenambahanIPv4Publik;28/03/2021 20.04
Downgrade;AR/CHT/2104/2451;140000778;QinqMetroEthernet;20/04/2021 12.33
Downgrade;AR/CHT/2105/2798;140000778;QinqMetroEthernet;21/05/2021 17.25
Downgrade;AR/CHT/2104/2443;140000778;QinqMetroEthernet;20/04/2021 11.59
Downgrade;AR/CHT/2104/2448;140000778;QinqMetroEthernet;20/04/2021 12.12
New;AR/ACT/2104/13509;40000568;InternetBroadbandCorporate;27/04/2021 09.37
New;AR/ACT/2104/13508;40000568;InternetCorporate;27/04/2021 09.36
Upgrade;AR/UPG/2103/2073;50002076;InternetCorporate;23/03/2021 08.59
New;AR/ACT/2101/2686;90000626;Lain-lain;21/01/2021 11.46
New;AR/ACT/2101/2685;90000626;InternetCorporate;21/01/2021 11.46
New;AR/ACT/2105/15298;50002114;InternetCorporate;16/05/2021 21.35
New;AR/ACT/2103/8483;160000105;IPTransit;22/03/2021 10.22
New;AR/ACT/2102/4123;90000616;PenambahanIPv4Publik;02/02/2021 09.41
New;AR/ACT/2102/4122;90000616;InternetBroadbandCorporate;02/02/2021 09.41
New;AR/ACT/2102/4121;90000616;InternetCorporate;02/02/2021 09.40
New;AR/ACT/2104/13418;30000344;Lain-lain;26/04/2021 12.29
New;AR/ACT/2103/7296;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7295;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7294;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7287;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7288;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7289;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7290;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7291;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7293;140000783;Bronze;08/03/2021 16.33
New;AR/ACT/2103/7292;140000783;Bronze;08/03/2021 16.33
Downgrade;AR/CHT/2105/2987;120000137;InternetCorporate;30/05/2021 23.13
New;AR/ACT/2101/1624;140002755;InternetCorporate;12/01/2021 10.31
Downgrade;AR/DOW/2103/0322;120000260;InternetCorporate;24/03/2021 11.52
Relokasi;AR/RLK/2103/0245;90000298;InternetCorporate;09/03/2021 09.04
New;AR/ACT/2102/4426;20001846;Metronet;04/02/2021 09.35
Relokasi;AR/RLK/2011/1178;40000348;IPVPN;03/11/2020 14.14
New;AR/ACT/2103/8029;140002851;InternetBroadbandCorporate;17/03/2021 17.44
New;AR/ACT/2102/6041;140002634;Lain-lain;23/02/2021 16.25
New;AR/ACT/2102/5501;140000783;Lain-lain;16/02/2021 15.52
Trial;AR/TRL/2106/0249;ICON-00;Metronet;22/06/2021 13.24
Trial;AR/TRL/2106/0238;90000695;InternetCorporate;13/06/2021 22.23
Trial;AR/TRL/2106/0256;180000343;NET-ACCESSBroadband;27/06/2021 22.02
Trial;AR/TRL/2106/0219;ICON-00;NET-ACCESSBroadband;05/06/2021 16.16
Trial;AR/TRL/2105/0203;140002096;Metronet;27/05/2021 09.39
New;AR/CHT/2106/3010;10000047;Lain-lain;02/06/2021 08.56
New;AR/ACT/2101/3014;ICON-00;i-WINOutdoor;26/01/2021 11.10
New;AR/ACT/2012/31728;ICON-00;PenambahanIPv4Publik;17/12/2020 16.41
New;AR/ACT/2011/29389;ICON-00;InternetCorporate;25/11/2020 17.53
New;AR/ACT/2009/25115;ICON-00;InternetBroadbandCorporate;24/09/2020 15.18
New;AR/ACT/2009/24240;ICON-00;FiberisasiTenantUtama;10/09/2020 08.43
New;AR/ACT/2008/23081;ICON-00;FiberisasiTenantUtama;25/08/2020 13.50
Upgrade;AR/UPG/2104/2311;40000385;InternetCorporate;09/04/2021 08.35
New;AR/ACT/2008/21586;ICON-00;FiberisasiTenantUtama;06/08/2020 12.48
New;AR/ACT/2008/21585;ICON-00;FiberisasiTenantUtama;06/08/2020 12.47
New;AR/ACT/2008/21569;ICON-00;FiberisasiTenantUtama;06/08/2020 10.50
New;AR/ACT/2007/20502;ICON-00;FiberisasiTenantUtama;24/07/2020 09.58
New;AR/ACT/2006/17193;ICON-00;OpenContent;11/06/2020 13.09
New;AR/ACT/2001/0551;ICON-00;Metronet;07/01/2020 10.36
New;AR/ACT/2001/0529;ICON-00;Metronet;07/01/2020 09.48
New;AR/ACT/2001/0527;ICON-00;Metronet;07/01/2020 09.46
New;AR/ACT/2001/0522;ICON-00;Metronet;07/01/2020 09.40
New;AR/ACT/2001/0520;ICON-00;Metronet;07/01/2020 09.39
New;AR/ACT/1912/46586;ICON-00;InternetBroadbandCorporate;13/12/2019 21.26
New;AR/ACT/1910/36189;ICON-00;IPVPN;09/10/2019 10.59
New;AR/ACT/1910/36187;ICON-00;ComnetzInfra;09/10/2019 10.54
New;AR/ACT/1910/36185;ICON-00;ComnetzInfra;09/10/2019 10.52
New;AR/ACT/1910/36181;ICON-00;ComnetzInfra;09/10/2019 10.48
New;AR/ACT/1910/36177;ICON-00;ComnetzInfra;09/10/2019 10.41
New;AR/ACT/1910/36171;ICON-00;IPVPN;09/10/2019 10.28
New;AR/ACT/1910/36170;ICON-00;IPVPN;09/10/2019 10.24
New;AR/ACT/1910/36075;ICON-00;i-SEEStarter;08/10/2019 15.40
New;AR/ACT/1910/36074;ICON-00;i-SEEStarter;08/10/2019 15.38
New;AR/ACT/1910/36073;ICON-00;i-SEEStarter;08/10/2019 15.36
New;AR/ACT/1910/36072;ICON-00;i-SEEStarter;08/10/2019 15.35
New;AR/ACT/1910/36071;ICON-00;i-SEEStarter;08/10/2019 15.32
New;AR/ACT/1910/36070;ICON-00;i-SEEStarter;08/10/2019 15.30
New;AR/ACT/1910/36069;ICON-00;i-SEEStarter;08/10/2019 15.29
New;AR/ACT/1910/36068;ICON-00;i-SEEStarter;08/10/2019 15.27
New;AR/ACT/1910/36067;ICON-00;i-SEEStarter;08/10/2019 15.24
New;AR/ACT/1910/36066;ICON-00;i-SEEStarter;08/10/2019 15.23
New;AR/ACT/1910/36065;ICON-00;i-SEEStarter;08/10/2019 15.21
New;AR/ACT/1910/36064;ICON-00;i-SEEStarter;08/10/2019 15.19
New;AR/ACT/1910/36062;ICON-00;i-SEEStarter;08/10/2019 14.40
New;AR/ACT/1910/36060;ICON-00;i-SEEStarter;08/10/2019 14.37
New;AR/ACT/1910/36059;ICON-00;i-SEEStarter;08/10/2019 14.36
New;AR/ACT/1910/36058;ICON-00;i-SEEStarter;08/10/2019 14.34
New;AR/ACT/1910/36057;ICON-00;i-SEEStarter;08/10/2019 14.32
New;AR/ACT/1910/36056;ICON-00;i-SEEStarter;08/10/2019 14.30
New;AR/ACT/1910/36055;ICON-00;i-SEEStarter;08/10/2019 14.29
New;AR/ACT/1910/36054;ICON-00;i-SEEStarter;08/10/2019 14.27
New;AR/ACT/1910/36053;ICON-00;i-SEEStarter;08/10/2019 14.24
New;AR/ACT/1910/36052;ICON-00;i-SEEStarter;08/10/2019 14.23
New;AR/ACT/1910/36051;ICON-00;i-SEEStarter;08/10/2019 14.21
New;AR/ACT/1910/36050;ICON-00;i-SEEStarter;08/10/2019 14.19
New;AR/ACT/1909/32202;ICON-00;InternetBroadbandCorporate;16/09/2019 15.51
New;AR/ACT/1909/32082;ICON-00;i-VIPOfficeBasic;16/09/2019 08.47
New;AR/ACT/1909/31575;ICON-00;IPVPN;12/09/2019 11.46
Upgrade;AR/UPG/2105/2624;50002114;InternetCorporate;27/05/2021 10.19
New;AR/ACT/2105/16115;50002122;IPVPN;28/05/2021 08.39
New;AR/ACT/2105/16121;50002122;IPVPN;28/05/2021 08.43
New;AR/ACT/2105/16122;50002122;IPVPN;28/05/2021 08.44
New;AR/ACT/2105/16111;50002122;InternetCorporate;28/05/2021 08.37
New;AR/ACT/2105/16119;50002122;IPVPN;28/05/2021 08.42
New;AR/ACT/2105/16117;50002122;IPVPN;28/05/2021 08.40
New;AR/ACT/2105/16114;50002122;IPVPN;28/05/2021 08.38
New;AR/ACT/2105/16118;50002122;IPVPN;28/05/2021 08.41
New;AR/ACT/2105/16120;50002122;IPVPN;28/05/2021 08.43
New;AR/ACT/2105/16116;50002122;IPVPN;28/05/2021 08.40
New;AR/ACT/2105/16112;50002122;IPVPN;28/05/2021 08.37
New;AR/ACT/2104/10890;20002042;PenambahanIPv4Publik;13/04/2021 15.39
New;AR/ACT/2104/10889;20002042;InternetCorporate;13/04/2021 15.38
New;AR/ACT/2104/12655;170000300;IPVPN;21/04/2021 14.53
New;AR/ACT/2104/12651;170000300;IPVPN;21/04/2021 14.52
New;AR/ACT/2104/12649;170000300;IPVPN;21/04/2021 14.49
New;AR/ACT/2104/12648;170000300;IPVPN;21/04/2021 14.47
New;AR/ACT/2104/12647;170000300;IPVPN;21/04/2021 14.45
Upgrade;AR/UPG/2104/2352;30000088;InternetCorporate;13/04/2021 13.09
New;AR/ACT/2104/13720;170000463;PenambahanIPv4Publik;29/04/2021 09.34
New;AR/ACT/2104/13719;170000463;InternetCorporate;29/04/2021 09.34
Downgrade;AR/DOW/2105/0422;120000125;InternetCorporate;20/05/2021 16.23
Upgrade;AR/UPG/2105/2515;170000300;IPVPN;18/05/2021 13.36
Relokasi;AR/RLK/2104/0381;20000616;Metronet;15/04/2021 14.45
Relokasi;AR/RLK/2104/0379;20000616;Metronet;15/04/2021 09.57
Relokasi;AR/RLK/2104/0378;20000616;Metronet;15/04/2021 09.23
New;AR/ACT/2104/13484;110000096;PenambahanIPv4Publik;26/04/2021 13.50
Upgrade;AR/UPG/2104/2418;110000096;InternetBroadbandCorporate;26/04/2021 13.11
Upgrade;AR/UPG/2104/2417;110000096;InternetCorporate;26/04/2021 13.07
New;AR/ACT/2105/15317;150000066;InternetBroadbandCorporate;17/05/2021 09.52
New;AR/ACT/2105/15316;150000066;InternetCorporate;17/05/2021 09.52
New;AR/ACT/2105/15385;90000480;InternetCorporate;18/05/2021 14.52
Relokasi;AR/RLK/2102/0207;990001563;Metronet;25/02/2021 15.47
New;AR/ACT/2105/15307;50002114;IPVPN;16/05/2021 21.36
New;AR/ACT/2105/15306;50002114;IPVPN;16/05/2021 21.36
New;AR/ACT/2105/15305;50002114;IPVPN;16/05/2021 21.36
New;AR/ACT/2105/15304;50002114;IPVPN;16/05/2021 21.36
New;AR/ACT/2105/15303;50002114;IPVPN;16/05/2021 21.36
New;AR/ACT/2105/15302;50002114;IPVPN;16/05/2021 21.36
New;AR/ACT/2105/15301;50002114;IPVPN;16/05/2021 21.36
New;AR/ACT/2105/15300;50002114;IPVPN;16/05/2021 21.35
New;AR/ACT/2105/15299;50002114;IPVPN;16/05/2021 21.35
New;AR/ACT/2105/15297;50002114;IPVPN;16/05/2021 21.35
New;AR/ACT/2105/15296;50002114;IPVPN;16/05/2021 21.34
New;AR/ACT/2105/15963;50000796;Metronet;25/05/2021 15.27
New;AR/ACT/2105/15961;50000796;Metronet;25/05/2021 15.24
New;AR/ACT/2105/15973;50000796;Metronet;25/05/2021 15.40
New;AR/ACT/2105/16271;140002940;ICONNET;29/05/2021 13.39
New;AR/ACT/2105/16270;140002940;ICONNET;29/05/2021 13.39
Upgrade on Demand;AR/UOD/2103/0048;90000490;InternetCorporate;22/03/2021 10.37
New;AR/ACT/2105/15099;60002032;InternetCorporate;10/05/2021 14.34
New;AR/ACT/2104/13659;90000682;InternetBroadbandCorporate;28/04/2021 16.46
New;AR/ACT/2104/13658;90000682;InternetBroadbandCorporate;28/04/2021 16.46
New;AR/ACT/2104/13657;90000682;InternetCorporate;28/04/2021 16.46
New;AR/ACT/2104/10731;30000385;Metronet;13/04/2021 08.41
New;AR/ACT/2104/10970;50002116;PenambahanIPv4Publik;14/04/2021 08.49
New;AR/ACT/2104/10969;50002116;InternetCorporate;14/04/2021 08.49
New;AR/ACT/2104/10883;60002010;InternetBroadbandCorporate;13/04/2021 13.35
New;AR/ACT/2106/17151;140002940;ICONNET;10/06/2021 17.36
New;AR/ACT/2106/17150;140002940;ICONNET;10/06/2021 17.36
New;AR/ACT/2106/17149;140002940;ICONNET;10/06/2021 17.36
New;AR/ACT/2106/17148;140002940;ICONNET;10/06/2021 17.36
Upgrade;AR/UPG/2105/2580;40000348;IPVPN;20/05/2021 21.53
New;AR/ACT/2103/7072;40000348;QinqMetroEthernet;04/03/2021 15.18
New;AR/ACT/2105/15540;110000246;PenambahanIPv4Publik;20/05/2021 22.33
New;AR/ACT/2105/15539;110000246;InternetCorporate;20/05/2021 22.33
New;AR/ACT/2105/15538;110000246;InternetBroadbandCorporate;20/05/2021 22.32
New;AR/ACT/2104/13098;90000373;PenambahanIPv4Publik;23/04/2021 13.44
New;AR/ACT/2104/13712;90000373;InternetBroadbandCorporate;29/04/2021 09.27
Upgrade;AR/UPG/2104/2454;90000373;InternetCorporate;29/04/2021 09.29
New;AR/ACT/2104/12815;110000234;PenambahanIPv4Publik;22/04/2021 13.51
New;AR/ACT/2104/12814;110000234;InternetCorporate;22/04/2021 13.50
Downgrade;AR/DOW/2106/0486;90000490;InternetCorporate;14/06/2021 10.46
New;AR/ACT/2101/1817;90000620;PenambahanIPv4Publik;13/01/2021 21.19
New;AR/ACT/2101/1816;90000620;InternetBroadbandCorporate;13/01/2021 21.19
New;AR/ACT/2101/1815;90000620;InternetCorporate;13/01/2021 21.19
New;AR/ACT/2104/13710;50002118;PenambahanIPv4Publik;29/04/2021 09.25
New;AR/ACT/2104/13709;50002118;InternetCorporate;29/04/2021 09.25
New;AR/ACT/2103/7079;40000348;QinqMetroEthernet;04/03/2021 15.23
New;AR/ACT/2103/7078;40000348;QinqMetroEthernet;04/03/2021 15.22
New;AR/ACT/2103/7076;40000348;QinqMetroEthernet;04/03/2021 15.21
New;AR/ACT/2103/7073;40000348;QinqMetroEthernet;04/03/2021 15.19
Upgrade;AR/UPG/2103/2069;990001563;InternetCorporate;22/03/2021 10.54
Downgrade;AR/CHT/2106/3970;990001563;InternetCorporate;22/06/2021 13.25
Downgrade;AR/DOW/2105/0419;80000114;QinqMetroEthernet;18/05/2021 13.05
Upgrade;AR/UPG/2104/2206;50000460;InternetCorporate;01/04/2021 08.16
New;AR/ACT/2103/9273;140000424;InternetCorporate;31/03/2021 09.53
New;AR/ACT/2103/9271;140000424;InternetCorporate;31/03/2021 09.53
New;AR/ACT/2106/18548;10000047;Lain-lain;23/06/2021 10.53
New;AR/ACT/2011/28037;30000307;QinqMetroEthernet;05/11/2020 08.21
New;AR/ACT/2101/3012;30000307;Metronet;26/01/2021 10.53
New;AR/ACT/2011/28035;30000307;Metronet;05/11/2020 08.21
New;AR/ACT/2012/31583;30000336;InternetBroadbandCorporate;16/12/2020 01.31
New;AR/ACT/2103/7967;140001271;Metronet;17/03/2021 08.31
New;AR/ACT/2105/15081;20001782;Metronet;10/05/2021 10.34
New;AR/ACT/2104/10982;140002971;InternetBroadbandCorporate;14/04/2021 09.34
New;AR/ACT/2104/10981;140002971;InternetBroadbandCorporate;14/04/2021 09.34
New;AR/ACT/2104/10980;140002971;InternetCorporate;14/04/2021 09.33
New;AR/ACT/2106/16602;60001746;InternetBroadbandCorporate;04/06/2021 12.51
Downgrade;AR/DOW/2106/0462;60001746;InternetBroadbandCorporate;04/06/2021 12.50
New;AR/ACT/2105/15792;140002783;InternetBroadbandCorporate;24/05/2021 11.59
Downgrade;AR/DOW/2105/0430;140002808;InternetBroadbandCorporate;24/05/2021 12.00
New;AR/ACT/2105/15793;140002808;InternetBroadbandCorporate;24/05/2021 12.01
Downgrade;AR/DOW/2105/0429;140002783;InternetBroadbandCorporate;24/05/2021 11.59
New;AR/ACT/2105/16072;160000105;IPTransitIIX;27/05/2021 09.41
New;AR/ACT/2104/13687;110000235;InternetBroadbandCorporate;29/04/2021 08.47
New;AR/ACT/2104/13686;110000235;PenambahanIPv4Publik;29/04/2021 08.47
New;AR/ACT/2104/13685;110000235;InternetCorporate;29/04/2021 08.47
Upgrade on Demand;AR/UOD/2103/0044;90000496;InternetCorporate;14/03/2021 09.39
New;AR/ACT/2106/19078;120000125;InternetCorporate;30/06/2021 16.47
New;AR/ACT/2103/8779;110000233;InternetCorporate;25/03/2021 14.00
Upgrade;AR/UPG/2105/2623;60001971;InternetCorporate;27/05/2021 09.40
New;AR/ACT/2105/15968;50000796;Metronet;25/05/2021 15.33
New;AR/ACT/2105/16074;140002847;InternetBroadbandCorporate;27/05/2021 09.43
New;AR/ACT/2105/16073;140002847;InternetBroadbandCorporate;27/05/2021 09.43
New;AR/ACT/2105/14896;140002479;InternetBroadbandCorporate;07/05/2021 08.44
New;AR/ACT/2105/14895;140002479;InternetBroadbandCorporate;07/05/2021 08.44
New;AR/ACT/2106/18750;140001895;InternetCorporate;24/06/2021 10.07
Upgrade;AR/UPG/2105/2576;140001895;InternetCorporate;20/05/2021 21.05
Upgrade;AR/UPG/2106/2850;60000844;InternetCorporate;22/06/2021 13.58
New;AR/ACT/2106/17555;80000114;QinqMetroEthernet;15/06/2021 14.18
New;AR/ACT/2106/16728;90000593;InternetBroadbandCorporate;07/06/2021 09.07
New;AR/ACT/2104/11608;140002401;Metronet;16/04/2021 15.10
New;AR/ACT/2105/16075;30000029;InternetCorporate;27/05/2021 09.45
New;AR/ACT/2105/15533;40000348;IPVPN;20/05/2021 21.41
New;AR/ACT/2104/10507;140002972;InternetBroadbandCorporate;09/04/2021 09.55
New;AR/ACT/2104/10506;140002972;InternetBroadbandCorporate;09/04/2021 09.55
New;AR/ACT/2104/10504;140002972;InternetCorporate;09/04/2021 09.55
New;AR/ACT/2104/10973;140002970;InternetBroadbandCorporate;14/04/2021 09.04
New;AR/ACT/2104/10972;140002970;InternetBroadbandCorporate;14/04/2021 09.04
New;AR/ACT/2104/10971;140002970;InternetCorporate;14/04/2021 09.04
Downgrade;AR/CHT/2107/4501;20001782;Metronet;12/07/2021 11.22
New;AR/ACT/2106/18148;40000568;InternetBroadbandCorporate;18/06/2021 10.28
New;AR/ACT/2105/15431;90000691;InternetBroadbandCorporate;19/05/2021 09.04
New;AR/ACT/2105/15430;90000691;InternetCorporate;19/05/2021 09.04
New;AR/ACT/2104/13694;20000711;Metronet;29/04/2021 08.57
New;AR/ACT/2105/15994;50000796;Metronet;25/05/2021 16.05
New;AR/ACT/2105/15861;50000796;Metronet;25/05/2021 08.27
New;AR/ACT/2106/16732;180000053;Lain-lain;07/06/2021 10.25
New;AR/ACT/2106/16731;180000053;Lain-lain;07/06/2021 10.25
New;AR/ACT/2106/16730;180000053;Lain-lain;07/06/2021 10.24
New;AR/ACT/2105/15080;20002042;InternetBroadbandCorporate;10/05/2021 10.33
New;AR/ACT/2105/15531;140003036;InternetBroadbandCorporate;20/05/2021 21.24
New;AR/ACT/2105/15530;140003036;InternetCorporate;20/05/2021 21.24
New;AR/ACT/2105/16299;90000695;Bronze;31/05/2021 09.28
New;AR/ACT/2105/16298;90000695;PenambahanIPv4Publik;31/05/2021 09.28
New;AR/ACT/2105/16297;90000695;InternetBroadbandCorporate;31/05/2021 09.28
New;AR/ACT/2105/16296;90000695;InternetBroadbandCorporate;31/05/2021 09.28
New;AR/ACT/2105/16295;90000695;InternetBroadbandCorporate;31/05/2021 09.28
New;AR/ACT/2105/16294;90000695;InternetCorporate;31/05/2021 09.28
New;AR/ACT/2106/17178;50002123;InternetBroadbandCorporate;11/06/2021 13.31
New;AR/ACT/2106/17177;50002123;InternetCorporate;11/06/2021 13.31
New;AR/ACT/2105/15310;140003022;InternetBroadbandCorporate;16/05/2021 22.54
New;AR/ACT/2105/15308;140003022;InternetCorporate;16/05/2021 22.54
New;AR/ACT/2106/18144;140000778;InternetBroadbandCorporate;18/06/2021 09.52
New;AR/ACT/2106/18143;140000778;InternetBroadbandCorporate;18/06/2021 09.52
New;AR/ACT/2104/12886;90000678;InternetCorporate;23/04/2021 08.42
New;AR/ACT/2105/15537;30000397;InternetBroadbandCorporate;20/05/2021 22.01
New;AR/ACT/2105/15536;30000397;InternetBroadbandCorporate;20/05/2021 22.00
New;AR/ACT/2105/15535;30000397;InternetCorporate;20/05/2021 22.00
New;AR/ACT/2106/17298;30000397;InternetBroadbandCorporate;14/06/2021 11.27
New;AR/ACT/2106/17297;30000397;InternetBroadbandCorporate;14/06/2021 11.27
New;AR/ACT/2106/17296;30000397;InternetCorporate;14/06/2021 11.26
New;AR/ACT/2106/17187;30000397;InternetBroadbandCorporate;11/06/2021 14.03
New;AR/ACT/2106/17185;30000397;InternetBroadbandCorporate;11/06/2021 14.02
New;AR/ACT/2106/17184;30000397;InternetCorporate;11/06/2021 14.02
New;AR/ACT/2105/15899;50000926;InternetCorporate;25/05/2021 12.47
New;AR/ACT/2104/13721;40000348;IPVPN;29/04/2021 09.37
New;AR/ACT/2106/17059;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17058;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17057;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17056;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17055;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17054;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17053;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17052;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17051;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17050;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17049;140002940;ICONNET;09/06/2021 16.31
New;AR/ACT/2106/17048;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17047;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17046;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17045;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17044;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17043;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17042;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17041;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17040;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17039;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17038;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17037;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17036;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17035;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/17033;140002940;ICONNET;09/06/2021 16.30
New;AR/ACT/2106/16959;140002940;ICONNET;09/06/2021 14.15
New;AR/ACT/2106/16958;140002940;ICONNET;09/06/2021 14.15
New;AR/ACT/2106/16957;140002940;ICONNET;09/06/2021 14.15
New;AR/ACT/2106/16956;140002940;ICONNET;09/06/2021 14.15
New;AR/ACT/2106/16955;140002940;ICONNET;09/06/2021 14.15
New;AR/ACT/2106/16954;140002940;ICONNET;09/06/2021 14.15
New;AR/ACT/2106/16953;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16952;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16951;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16950;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16949;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16948;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16947;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16946;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16945;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16944;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16943;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16942;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16941;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16940;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16939;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16938;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16937;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16936;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16935;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16934;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16933;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16932;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16931;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16930;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16929;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16928;140002940;ICONNET;09/06/2021 14.14
New;AR/ACT/2106/16927;140002940;ICONNET;09/06/2021 14.13
Downgrade;AR/CHT/2107/4589;60002016;Metronet;21/07/2021 09.31
Upgrade;AR/CHT/2107/4590;90000678;InternetCorporate;21/07/2021 12.35
Downgrade;AR/DOW/2106/0485;90000471;InternetCorporate;11/06/2021 09.36
Upgrade;AR/UPG/2106/2753;150000066;InternetCorporate;08/06/2021 15.42
New;AR/ACT/2106/18886;150000066;InternetBroadbandCorporate;27/06/2021 23.02
New;AR/ACT/2106/16399;90000696;InternetBroadbandCorporate;02/06/2021 11.41
New;AR/ACT/2106/16398;90000696;InternetCorporate;02/06/2021 11.41
New;AR/ACT/2105/15941;50000796;Metronet;25/05/2021 15.01
New;AR/ACT/2106/18132;30000405;InternetBroadbandCorporate;17/06/2021 22.05
New;AR/ACT/2106/18131;30000405;InternetCorporate;17/06/2021 22.05
New;AR/ACT/2107/20210;ICON-00;InternetBroadbandCorporate;17/07/2021 14.48
New;AR/ACT/2107/20211;ICON-00;InternetCorporate;17/07/2021 14.48
New;AR/ACT/2106/18853;990001010;InternetCorporate;25/06/2021 15.27
New;AR/ACT/2104/13692;30000388;InternetCorporate;29/04/2021 08.54
New;AR/ACT/2105/15328;50002120;InternetCorporate;17/05/2021 13.28
New;AR/ACT/2106/16635;80000114;Metronet;04/06/2021 20.05
New;AR/ACT/2104/10978;140002973;InternetBroadbandCorporate;14/04/2021 09.27
New;AR/ACT/2104/10977;140002973;InternetCorporate;14/04/2021 09.26
Upgrade;AR/UPG/2103/1977;60001232;InternetCorporate;16/03/2021 16.06
New;AR/ACT/2105/14892;170000300;IPVPN;07/05/2021 08.37
Upgrade;AR/CHT/2107/4664;30000405;InternetBroadbandCorporate;29/07/2021 08.36
